Snowball;Title;Authors;analyze/generate;Year;Source title;Volume;Issue;Art. No.;Page start;Page end;Page count;Cited by;DOI;Link;Language of Original Document;Document Type;Publication Stage;Open Access;Source;EID
NO;RuleKeeper: GDPR-Aware Personal Data Compliance for Web Frameworks;"Ferreira M.; Brito T.; Santos J.F.; Santos N.";analyze;2023;Proceedings - IEEE Symposium on Security and Privacy;2023-May;;;2817;2834;17;2;10.1109/SP46215.2023.10179395;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166484159&doi=10.1109%2fSP46215.2023.10179395&partnerID=40&md5=28ed67518f5586ef2b64d10deac7bf6a;English;Conference paper;Final;;Scopus;2-s2.0-85166484159
NO;Helping Code Reviewer Prioritize: Pinpointing Personal Data and Its Processing;"Tang F.; Østvold B.M.; Bruntink M.";analyze;2023;Frontiers in Artificial Intelligence and Applications;371;;;109;124;15;0;10.3233/FAIA230228;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175398099&doi=10.3233%2fFAIA230228&partnerID=40&md5=055dec45129f1e3d9f0deaa810cdeb78;English;Conference paper;Final;"All Open Access; Green Open Access";Scopus;2-s2.0-85175398099
NO;Extracting LPL privacy policy purposes from annotated web service source code;"Hjerppe K.; Ruohonen J.; Leppänen V.";analyze;2023;Software and Systems Modeling;22;1;;331;349;18;1;10.1007/s10270-022-00998-y;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127659177&doi=10.1007%2fs10270-022-00998-y&partnerID=40&md5=e1bf3cca4ff1f69b8c96bafc38abfe65;English;Article;Final;"All Open Access; Hybrid Gold Open Access";Scopus;2-s2.0-85127659177
NO;AI privacy toolkit;"Goldsteen A.; Saadi O.; Shmelkin R.; Shachor S.; Razinkov N.";generate;2023;SoftwareX;22;;101352;;;;1;10.1016/j.softx.2023.101352;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150159388&doi=10.1016%2fj.softx.2023.101352&partnerID=40&md5=4f8d822019803fe978a3601924f7c78e;English;Article;Final;;Scopus;2-s2.0-85150159388
NO;TIRA: An OpenAPI Extension and Toolbox for GDPR Transparency in RESTful Architectures;"Grunewald E.; Wille P.; Pallas F.; Borges M.C.; Ulbricht M.-R.";analyze;2021;Proceedings - 2021 IEEE European Symposium on Security and Privacy Workshops, Euro S and PW 2021;;;;312;319;7;9;10.1109/EuroSPW54576.2021.00039;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118980891&doi=10.1109%2fEuroSPW54576.2021.00039&partnerID=40&md5=5db66a484fe4445681ac5ceb30487688;English;Conference paper;Final;"All Open Access; Green Open Access";Scopus;2-s2.0-85118980891
NO;A Framework for Scanning Privacy Information based on Static Analysis;"Zhao Y.; Yi G.; Liu F.; Hui Z.; Zhao J.";analyze;2022;IEEE International Conference on Software Quality, Reliability and Security, QRS;2022-December;;;1135;1145;10;0;10.1109/QRS57517.2022.00116;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151476433&doi=10.1109%2fQRS57517.2022.00116&partnerID=40&md5=2943a588446bc352c69933396f250d22;English;Conference paper;Final;;Scopus;2-s2.0-85151476433
NO;Annotation-based static analysis for personal data protection;"Hjerppe K.; Ruohonen J.; Leppänen V.";analyze;2020;IFIP Advances in Information and Communication Technology;576 LNCS;;;343;358;15;7;10.1007/978-3-030-42504-3_22;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082402317&doi=10.1007%2f978-3-030-42504-3_22&partnerID=40&md5=d2b384f737b1ac9daf1aeb426fe39f93;English;Conference paper;Final;"All Open Access; Green Open Access";Scopus;2-s2.0-85082402317
NO;Static analysis for GDPR compliance;"Ferrara P.; Spoto F.";analyze;2018;CEUR Workshop Proceedings;2058;;;;;;11;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042422575&partnerID=40&md5=858bf9bab2e7349ca4980b815328f6fc;English;Conference paper;Final;;Scopus;2-s2.0-85042422575
YES;Scalable Discovery and Continuous Inventory of Personal Data at Rest in Cloud Native Systems;"Grunewald E.; Schurbert L.";analyze;2022;20th International Conference on Service-Oriented Computing;;;;;;;;10.1007/978-3-031-20984-0_36;https://link.springer.com/chapter/10.1007/978-3-031-20984-0_36;;;;;;
YES;Configurable Per-Query Data Minimization for Privacy-Compliant Web APIs;"Pallas F.; Hartmann D.; Heinrich P.; Kipke J.; Grunewald E.";generate;2022;22nd International Conference on Web Engineering;;;;;;;;10.1007/978-3-031-09917-5_22;https://link.springer.com/chapter/10.1007/978-3-031-09917-5_22;;;;;;
YES;Privacy Property Graph: Towards Automated Privacy Threat Modeling via Static Graph-based Analysis;"Kunz I.; Weiss K.; Schneider A.; Bande C.";analyze;2023;Proceedings on Privacy Enhancing Technologies 2023;;;;;;;;10.56553/popets-2023-0046;https://petsymposium.org/popets/2023/popets-2023-0046.pdf;;;;;;
YES;A Large Language Model Approach to Code and Privacy Policy Alignment;"Morales G.; Pragyan K. C.; Jahan S.; Hosseini M. B.; Slavin R.";analyze;2024;2024 IEEE International Conference on Software Analysis, Evolution and Reengineering;;;;;;;;10.1109/SANER60148.2024.00016;https://ieeexplore.ieee.org/document/10589797;;;;;;
YES;Finding Privacy-relevant Source Code;"Tang F.; Østvold B.M.; ";analyze;2024;2024 IEEE International Conference on Software Analysis, Evolution and Reengineering - Companion (SANER-C);;;;;;;;10.1109/SANER-C62648.2024.00020;https://ieeexplore.ieee.org/document/10621719;;;;;;
